,cdx_ig,cdx_hy
2004-11-19,,
2004-11-22,48.986,
2004-11-23,48.77,
2004-11-24,47.845,
2004-11-26,47.767,
2004-11-29,47.092,
2004-11-30,47.465,
2004-12-01,45.948,
2004-12-02,44.651,
2004-12-03,44.303,
2004-12-06,44.237,
2004-12-07,44.464,
2004-12-08,44.738,
2004-12-09,45.19,
2004-12-10,45.781,
2004-12-13,45.731,
2004-12-14,46.634,
2004-12-15,46.106,
2004-12-16,45.189,
2004-12-17,45.429,
2004-12-20,44.713,
2004-12-21,44.673,
2004-12-22,44.505,
2004-12-23,44.508,
2004-12-28,44.272,
2004-12-29,44.275,
2004-12-30,44.215,
2004-12-31,44.28,
2005-01-03,44.435,
2005-01-04,45.141,
2005-01-05,46.836,
2005-01-06,46.886,
2005-01-07,47.456,
2005-01-10,47.62,
2005-01-11,47.79,
2005-01-12,47.48,
2005-01-13,48.066,
2005-01-14,48.069,
2005-01-18,48.892,
2005-01-19,49.182,
2005-01-20,49.864,
2005-01-21,49.852,
2005-01-24,48.909,
2005-01-25,47.852,
2005-01-26,47.012,
2005-01-27,46.979,
2005-01-28,47.147,
2005-01-31,46.89,
2005-02-01,46.225,
2005-02-02,45.067,
2005-02-03,45.124,
2005-02-04,44.626,
2005-02-07,45.063,
2005-02-08,45.137,
2005-02-09,46.444,
2005-02-10,45.643,
2005-02-11,45.083,
2005-02-14,44.946,
2005-02-15,44.782,
2005-02-16,44.305,
2005-02-17,44.394,
2005-02-18,44.595,
2005-02-22,45.645,
2005-02-23,44.694,
2005-02-24,44.494,
2005-02-25,44.45,
2005-02-28,44.942,
2005-03-01,44.414,
2005-03-02,44.129,
2005-03-03,43.419,
2005-03-04,42.453,
2005-03-07,41.948,
2005-03-08,41.506,
2005-03-09,42.795,
2005-03-10,42.886,
2005-03-11,43.437,
2005-03-14,43.939,
2005-03-15,44.812,
2005-03-16,46.653,
2005-03-17,45.989,
2005-03-18,45.277,
2005-03-21,45.286,
2005-03-22,47.229,
2005-03-23,46.786,
2005-03-24,46.25,
2005-03-28,46.792,
2005-03-29,48.219,
2005-03-30,48.861,
2005-03-31,50.607,
2005-04-01,52.583,
2005-04-04,51.344,
2005-04-05,49.25,
2005-04-07,47.75,
2005-04-08,50.875,
2005-04-11,50.556,
2005-04-12,49.986,
2005-04-13,52.422,
2005-04-14,55.521,
2005-04-15,59.0,
2005-04-18,58.768,
2005-04-19,55.104,
2005-04-20,55.688,
2005-04-21,51.917,
2005-04-22,54.0,
2005-04-25,53.469,
2005-04-26,54.194,
2005-04-27,55.771,
2005-04-28,58.406,
2005-04-29,59.083,
2005-05-02,59.625,
2005-05-03,59.594,
2005-05-04,55.964,
2005-05-05,61.313,
2005-05-06,63.493,
2005-05-09,64.438,
2005-05-10,71.625,
2005-05-11,70.938,
2005-05-12,72.786,
2005-05-13,74.479,
2005-05-16,74.646,
2005-05-17,77.722,
2005-05-18,71.125,
2005-05-19,63.857,
2005-05-20,64.571,
2005-05-23,63.464,
2005-05-24,62.75,
2005-05-25,59.982,
2005-05-26,56.938,
2005-05-27,57.583,
2005-05-31,59.286,
2005-06-01,57.75,
2005-06-02,54.547,
2005-06-03,56.036,
2005-06-06,56.889,
2005-06-07,56.203,
2005-06-08,57.857,
2005-06-09,57.319,
2005-06-10,57.036,
2005-06-13,56.542,
2005-06-14,55.25,
2005-06-15,55.25,
2005-06-16,56.578,
2005-06-17,56.188,
2005-06-20,56.514,
2005-06-21,56.014,
2005-06-22,57.958,
2005-06-23,59.861,
2005-06-24,62.042,
2005-06-27,63.194,
2005-06-28,58.875,
2005-06-29,60.347,
2005-06-30,60.333,
2005-07-01,59.975,
2005-07-05,58.819,
2005-07-06,59.844,
2005-07-07,61.829,
2005-07-08,58.688,
2005-07-11,57.922,
2005-07-12,57.719,
2005-07-13,56.75,
2005-07-14,55.278,
2005-07-15,55.063,
2005-07-18,54.781,
2005-07-19,55.014,
2005-07-20,54.107,
2005-07-21,53.75,
2005-07-22,53.25,
2005-07-25,53.437,
2005-07-26,52.111,
2005-07-27,51.139,
2005-07-28,50.109,
2005-07-29,50.719,
2005-08-01,51.482,
2005-08-02,52.438,
2005-08-03,52.5,
2005-08-04,53.786,
2005-08-05,54.344,
2005-08-08,54.653,
2005-08-09,53.111,
2005-08-10,52.672,
2005-08-11,52.063,
2005-08-12,52.609,
2005-08-15,52.667,
2005-08-16,52.569,
2005-08-17,51.357,
2005-08-18,51.167,
2005-08-19,50.328,
2005-08-22,49.054,
2005-08-23,47.944,
2005-08-24,48.889,
2005-08-25,48.703,
2005-08-26,49.571,
2005-08-29,49.681,
2005-08-30,50.389,
2005-08-31,50.703,
2005-09-01,51.556,
2005-09-02,53.339,
2005-09-05,53.339,
2005-09-06,50.438,
2005-09-07,51.268,
2005-09-08,50.984,
2005-09-09,50.047,
2005-09-12,49.694,
2005-09-13,49.554,
2005-09-14,49.0,
2005-09-15,49.797,
2005-09-20,47.278,
2005-09-21,47.268,
2005-09-22,47.396,
2005-09-23,46.641,
2005-09-26,45.984,
2005-09-27,45.889,
2005-09-28,46.031,
2005-09-29,45.516,
2005-09-30,45.422,
2005-10-03,45.375,
2005-10-04,45.222,
2005-10-05,45.694,
2005-10-06,47.611,
2005-10-07,47.964,
2005-10-11,47.938,
2005-10-12,48.958,
2005-10-13,49.604,
2005-10-14,49.014,
2005-10-17,47.391,
2005-10-18,47.266,
2005-10-19,47.199,
2005-10-20,47.764,
2005-10-21,47.547,
2005-10-24,47.458,
2005-10-25,47.806,
2005-10-26,48.172,
2005-10-27,48.656,
2005-10-28,48.359,
2005-10-31,48.016,
2005-11-01,48.264,
2005-11-02,48.806,
2005-11-03,49.194,
2005-11-04,49.286,
2005-11-07,48.922,
2005-11-08,48.875,
2005-11-09,49.109,
2005-11-10,49.375,
2005-11-14,50.328,
2005-11-15,50.719,
2005-11-16,50.806,
2005-11-17,51.167,
2005-11-18,50.75,
2005-11-21,50.764,
2005-11-22,49.819,
2005-11-23,49.839,
2005-11-25,49.688,
2005-11-28,49.5,
2005-11-29,49.156,
2005-11-30,49.339,
2005-12-01,48.75,
2005-12-02,48.792,
2005-12-05,48.804,
2005-12-06,48.766,
2005-12-07,48.75,
2005-12-08,48.389,
2005-12-09,47.984,
2005-12-12,47.411,
2005-12-13,46.594,
2005-12-14,46.5,
2005-12-15,46.531,
2005-12-16,46.446,
2005-12-19,46.188,
2005-12-20,46.469,
2005-12-21,46.361,
2005-12-22,45.972,
2005-12-23,45.925,
2005-12-27,45.821,
2005-12-28,46.021,
2005-12-29,46.141,
2005-12-30,46.179,
2006-01-03,45.641,
2006-01-04,45.219,
2006-01-05,45.313,
2006-01-06,45.234,
2006-01-09,45.083,
2006-01-10,45.281,
2006-01-11,45.25,
2006-01-12,45.719,
2006-01-13,45.969,
2006-01-17,46.469,
2006-01-18,46.328,
2006-01-19,45.875,
2006-01-20,46.458,
2006-01-23,46.347,
2006-01-24,45.938,
2006-01-25,45.859,
2006-01-26,45.656,
2006-01-27,44.859,
2006-01-30,44.583,
2006-01-31,44.417,
2006-02-01,44.219,
2006-02-02,44.264,
2006-02-03,44.453,
2006-02-06,44.75,
2006-02-07,45.313,
2006-02-08,44.984,
2006-02-09,45.094,
2006-02-10,45.347,
2006-02-13,45.547,
2006-02-14,45.194,
2006-02-15,44.611,
2006-02-16,44.222,
2006-02-17,44.0,
2006-02-21,44.0,
2006-02-22,43.25,
2006-02-23,42.234,
2006-02-24,42.203,
2006-02-27,42.0,
2006-03-20,37.986,
2006-03-21,38.745,
2006-03-22,39.537,
2006-03-23,40.658,
2006-03-24,41.325,
2006-03-27,40.764,
2006-03-28,41.196,
2006-03-29,42.035,
2006-03-30,42.078,
2006-03-31,41.328,
2006-04-03,41.43,
2006-04-04,41.733,
2006-04-05,40.827,
2006-04-06,40.122,
2006-04-07,40.212,
2006-04-10,40.229,
2006-04-11,39.757,
2006-04-12,39.735,
2006-04-13,39.761,
2006-04-17,40.055,
2006-04-18,39.316,
2006-04-19,38.826,
2006-04-20,38.351,
2006-04-21,38.286,
2006-04-24,38.178,
2006-04-25,37.876,
2006-04-26,36.621,
2006-04-27,36.136,
2006-04-28,35.216,
2006-05-01,34.879,
2006-05-02,34.468,
2006-05-03,35.479,
2006-05-04,36.953,
2006-05-05,36.251,
2006-05-08,36.674,
2006-05-09,37.225,
2006-05-10,37.208,
2006-05-11,37.972,
2006-05-12,39.327,
2006-05-15,39.97,
2006-05-16,40.589,
2006-05-17,42.366,
2006-05-18,42.1,
2006-05-19,41.872,
2006-05-22,43.408,
2006-05-23,43.228,
2006-05-24,44.285,
2006-05-25,41.468,
2006-05-26,40.51,
2006-05-30,43.663,
2006-05-31,42.825,
2006-06-01,42.142,
2006-06-02,41.698,
2006-06-05,43.088,
2006-06-06,43.938,
2006-06-07,43.788,
2006-06-08,44.607,
2006-06-09,44.631,
2006-06-12,45.557,
2006-06-13,46.443,
2006-06-14,47.295,
2006-06-15,45.75,
2006-06-16,46.583,
2006-06-19,46.459,
2006-06-20,46.59,
2006-06-21,46.318,
2006-06-22,46.648,
2006-06-23,46.784,
2006-06-26,46.094,
2006-06-27,45.827,
2006-06-28,45.041,
2006-06-29,42.835,
2006-06-30,41.628,
2006-07-03,41.343,
2006-07-05,41.961,
2006-07-06,41.711,
2006-07-07,41.908,
2006-07-10,41.483,
2006-07-11,41.714,
2006-07-12,42.879,
2006-07-13,44.423,
2006-07-14,44.457,
2006-07-17,44.092,
2006-07-18,43.446,
2006-07-19,41.622,
2006-07-20,42.546,
2006-07-21,42.87,
2006-07-24,42.649,
2006-07-25,42.84,
2006-07-26,42.674,
2006-07-27,42.654,
2006-07-28,42.081,
2006-07-31,42.156,
2006-08-01,42.552,
2006-08-02,42.219,
2006-08-03,42.152,
2006-08-04,41.902,
2006-08-07,42.023,
2006-08-08,42.034,
2006-08-09,42.462,
2006-08-10,42.697,
2006-08-11,42.498,
2006-08-14,42.278,
2006-08-15,41.72,
2006-08-16,40.418,
2006-08-17,40.632,
2006-08-18,40.487,
2006-08-21,41.426,
2006-08-22,41.421,
2006-08-23,41.448,
2006-08-24,41.146,
2006-08-25,40.928,
2006-08-28,40.427,
2006-08-29,40.263,
2006-08-30,39.917,
2006-08-31,39.606,
2006-09-01,39.108,
2006-09-05,38.839,
2006-09-06,39.6,
2006-09-07,39.767,
2006-09-08,38.83,
2006-09-11,39.015,
2006-09-12,38.087,
2006-09-13,37.676,
2006-09-14,37.887,
2006-09-15,37.573,
2006-09-18,39.217,
2006-09-19,40.132,
2006-09-20,40.143,
2006-09-21,40.731,
2006-09-22,41.307,
2006-09-25,40.545,
2006-09-26,39.745,
2006-09-27,39.638,
2006-09-28,40.14,
2006-09-29,39.641,
2006-10-02,40.313,
2006-10-03,39.93,
2006-10-04,39.119,
2006-10-05,38.777,
2006-10-06,38.842,
2006-10-10,38.745,
2006-10-11,38.496,
2006-10-12,37.852,
