,cad_ig_oas,us_ig_oas,us_hy_oas,eur_ig_oas,cad_ig_oas_1-5yr,cad_ig_oas_5-10yr,cad_ig_oas_>10yr,cad_ig_oas_fins,cad_ig_oas_industrials,cad_ig_oas_utility,cad_ig_oas_a,cad_ig_oas_bbb,cad_prov_oas,cad_prov_oas_1-5yr,cad_prov_oas_5-10yr,cad_prov_oas_10yr,cad_prov_cmb,us_ig_oas_aaa,us_ig_oas_aa,us_ig_oas_a,us_ig_oas_bbb,us_ig_oas_1-3yr,us_ig_oas_3-5yr,us_ig_oas_5-7yr,us_ig_oas_7-10yr,us_ig_oas_10yr,us_ig_oas_industrials,us_ig_oas_uts,us_ig_oas_fins
2002-10-01,,-5.212287,-18.360372,-0.069477,,,,,,,,,,,,,,,,,,,,,,,-6.448788,-11.591797,-1.611065
2002-10-02,-0.093446,-5.10039,-18.394289,-0.072467,,,,0.050198,-0.209827,-0.016702,0.0135,,,,,,,,,,,,,,,,-6.335008,-11.443126,-1.512345
2002-10-03,-0.023706,-5.188699,-18.613532,-0.073785,,,,0.063935,-0.085321,0.011327,0.044007,,,,,,,,,,,,,,,,-6.375832,-11.67205,-1.624768
2002-10-04,0.024013,-5.36801,-18.746715,-0.100486,,,,-0.047606,0.070918,-0.00029,0.038536,,,,,,,,,,,,,,,,-6.446001,-12.208699,-1.851529
2002-10-07,-0.061681,-5.851688,-19.113679,-0.108174,,,,-0.085269,-0.094334,-0.009304,0.027179,,,,,,,,,,,,,,,,-6.859556,-13.365272,-2.242348
2002-10-08,-0.024332,-6.455594,-19.327992,-0.135399,,,,-0.082374,-0.034891,0.016945,0.006223,,,,,,,,,,,,,,,,-7.279604,-14.508304,-2.943649
2002-10-09,-0.299072,-6.885107,-19.801132,-0.154945,,,,-0.550247,-0.432547,-0.010261,-0.516146,,,,,,,,,,,,,,,,-7.620466,-15.377471,-3.370828
2002-10-10,-0.455022,-7.055374,-19.682987,-0.166183,,,,-1.161666,-0.500048,-0.057346,-0.840008,,,,,,,,,,,,,,,,-7.60016,-16.251896,-3.598321
2002-10-11,-0.491465,-6.596824,-20.159811,-0.150497,,,,-1.153784,-0.593283,-0.043898,-0.956168,,,,,,,,,,,,,,,,-7.102348,-15.7037,-3.213763
2002-10-15,-1.000529,-6.250971,-19.241227,-0.126977,,,,-0.977604,-1.787912,-0.0232,-0.900826,,,,,,,,,,,,,,,,-6.780787,-15.891848,-2.681044
2002-10-16,-0.501085,-6.370816,-19.234142,-0.119384,,,,-0.908933,-0.72355,-0.024924,-0.672148,,,,,,,,,,,,,,,,-6.758728,-16.04684,-2.980765
2002-10-17,-0.402948,-6.254613,-18.82965,-0.129886,,,,-1.051008,-0.480696,0.007522,-0.767678,,,,,,,,,,,,,,,,-6.571844,-15.859353,-2.97694
2002-10-18,-0.520106,-6.24859,-18.743039,-0.126309,,,,-1.209096,-0.678616,0.011503,-0.86835,,,,,,,,,,,,,,,,-6.564192,-15.750143,-3.001733
2002-10-21,-0.438253,-6.094622,-18.254122,-0.137066,,,,-1.144295,-0.541174,0.03181,-0.783654,,,,,,,,,,,,,,,,-6.35286,-15.642883,-2.910545
2002-10-22,-0.4802,-5.944315,-18.29501,-0.114148,,,,-1.033288,-0.675483,0.03196,-0.751279,,,,,,,,,,,,,,,,-6.0933,-15.661623,-2.858628
2002-10-23,-0.414903,-5.918708,-18.364428,-0.109731,,,,-0.957798,-0.57304,0.045705,-0.699786,,,,,,,,,,,,,,,,-6.030924,-15.695003,-2.865197
2002-10-24,-0.359332,-5.95067,-18.592455,-0.11125,,,,-0.823884,-0.50419,0.046787,-0.600303,,,,,,,,,,,,,,,,-5.929405,-15.344693,-3.185132
2002-10-25,-0.294558,-6.030975,-18.864422,-0.118547,,,,-0.820399,-0.380724,0.067474,-0.526816,,,,,,,,,,,,,,,,-6.031721,-15.264514,-3.281229
2002-10-28,-0.183762,-5.85695,-18.684634,-0.114815,,,,-0.764707,-0.16667,0.075253,-0.303515,,,,,,,,,,,,,,,,-5.914425,-14.870467,-3.090771
2002-10-29,-0.190438,-5.915171,-19.321853,-0.122585,,,,-0.731653,-0.213644,0.099981,-0.248789,,,,,,,,,,,,,,,,-6.018138,-14.884859,-3.102927
2002-10-30,-0.141138,-5.820431,-19.163388,-0.097976,,,,-0.7715,-0.062712,0.064741,-0.268319,,,,,,,,,,,,,,,,-5.866524,-14.839407,-3.069411
