,cad_ig_oas,us_ig_oas,us_hy_oas,eur_ig_oas,cad_ig_oas_1-5yr,cad_ig_oas_5-10yr,cad_ig_oas_>10yr,cad_ig_oas_fins,cad_ig_oas_industrials,cad_ig_oas_utility,cad_ig_oas_a,cad_ig_oas_bbb,cad_prov_oas,cad_prov_oas_1-5yr,cad_prov_oas_5-10yr,cad_prov_oas_>10yr,cad_prov_cmb,us_ig_oas_aaa,us_ig_oas_aa,us_ig_oas_a,us_ig_oas_bbb,us_ig_oas_1-3yr,us_ig_oas_3-5yr,us_ig_oas_5-7yr,us_ig_oas_7-10yr,us_ig_oas_>10yr,us_ig_oas_industrials,us_ig_oas_uts,us_ig_oas_fins
2002-10-01,,237.251123,987.413426,27.555947,,,,,,,,,,,,,,,,,,,,,,,245.098157,335.289945,201.854154
2002-10-02,79.545983,235.572126,989.083859,27.864795,,,,104.747729,113.246025,25.104327,125.139345,,,,,,,,,,,,,,,,243.757077,332.656747,199.961194
2002-10-03,83.816601,236.956207,992.347223,27.93002,,,,110.478972,117.441034,28.743526,130.49397,,,,,,,,,,,,,,,,244.253533,337.352631,201.676215
2002-10-04,88.702731,240.074894,995.134869,28.150093,,,,119.996876,120.742771,33.282393,136.917653,,,,,,,,,,,,,,,,245.003255,348.770366,205.822819
2002-10-07,81.292068,247.40237,1005.114001,28.277141,,,,110.365939,113.23502,27.134917,126.894872,,,,,,,,,,,,,,,,250.492461,367.63581,212.823693
2002-10-08,85.992471,257.945551,1009.176423,28.759341,,,,116.808281,118.418543,30.359957,133.441933,,,,,,,,,,,,,,,,256.986673,387.436864,226.468383
2002-10-09,91.00916,265.566133,1020.195068,29.19925,,,,137.556769,123.410183,28.042553,146.975936,,,,,,,,,,,,,,,,261.529144,403.421321,236.155053
2002-10-10,101.743397,268.508575,1017.755346,29.614629,,,,177.42451,128.474583,31.956161,165.678111,,,,,,,,,,,,,,,,261.862487,416.490005,240.263891
2002-10-11,105.060162,262.366538,1033.09901,29.31951,,,,180.95235,132.628156,34.090854,170.360125,,,,,,,,,,,,,,,,255.707539,409.24927,234.38875
2002-10-15,120.645617,259.694268,1018.543234,29.232679,,,,189.236108,155.965824,43.760434,182.456813,,,,,,,,,,,,,,,,255.609707,416.754337,226.180439
2002-10-16,96.570956,261.922008,1014.828456,29.112629,,,,162.611141,125.797788,27.787701,157.856036,,,,,,,,,,,,,,,,255.538442,420.06187,231.131778
2002-10-17,106.259678,260.356092,1007.371712,29.270284,,,,186.492872,132.801669,33.863833,174.493927,,,,,,,,,,,,,,,,253.46133,416.831086,230.620137
2002-10-18,103.670378,260.549368,1004.581724,29.363459,,,,192.973017,129.325767,28.142678,174.36677,,,,,,,,,,,,,,,,253.405271,415.18627,231.543055
2002-10-21,109.956429,258.808687,995.6921,29.72035,,,,197.544127,135.718131,35.024041,180.222997,,,,,,,,,,,,,,,,251.002749,414.82931,230.351815
2002-10-22,102.371007,256.713844,994.904764,29.290244,,,,182.707122,130.26367,28.307939,170.958739,,,,,,,,,,,,,,,,247.405102,415.916789,229.492145
2002-10-23,99.877166,256.233289,997.39375,28.548817,,,,175.118581,127.777048,28.182102,166.786003,,,,,,,,,,,,,,,,246.408176,415.377106,229.721335
2002-10-24,97.232006,258.349538,999.228014,29.484302,,,,171.24538,124.804274,26.452029,162.822178,,,,,,,,,,,,,,,,245.072018,409.053232,238.241911
2002-10-25,98.595328,260.494552,1005.846171,29.72009,,,,174.092057,125.660528,27.696648,163.828597,,,,,,,,,,,,,,,,246.626371,406.694119,242.209309
2002-10-28,97.211589,257.293698,1006.757063,29.781057,,,,175.330275,121.600664,28.326805,160.030749,,,,,,,,,,,,,,,,244.814112,399.69565,238.02013
2002-10-29,89.861267,256.989775,1021.048126,29.896473,,,,165.175263,114.402148,22.221679,150.816591,,,,,,,,,,,,,,,,245.685189,398.017814,236.471036
2002-10-30,95.061961,255.461717,1017.986948,29.452194,,,,175.375752,118.892823,26.083907,158.163452,,,,,,,,,,,,,,,,242.904293,397.654026,236.32099
2002-10-31,86.896937,253.069203,1001.548411,29.987626,,,,162.872418,112.353081,18.179599,148.535981,,,,,,,34.516219,107.693102,221.120175,354.515607,61.552849,73.454652,96.428634,146.966009,101.602564,242.551307,395.842713,230.994139
2002-11-01,96.391472,246.37556,1007.21119,28.368694,,,,167.918448,120.965725,28.453629,159.374853,,,,,,,,,,,,,,,,238.560775,350.473511,231.054518
2002-11-04,97.038166,238.348497,998.114405,28.003992,,,,163.909122,121.646256,31.153078,157.630963,,,,,,28.831455,,,,,,,,,,230.063812,342.873209,223.526564
2002-11-05,98.000565,236.329661,993.579009,27.819728,,,,166.556449,121.721567,32.241912,158.188445,,,,,,30.262602,,,,,,,,,,228.428628,343.254281,220.469898
2002-11-06,89.366061,232.232518,994.22498,27.498347,,,,153.236323,114.051851,24.75864,146.68528,,,,,,23.609203,,,,,,,,,,227.043286,338.720456,212.924787
2002-11-07,81.672569,232.005865,997.955628,27.276894,,,,139.044336,108.67604,17.670068,137.70585,,,,,,17.30248,33.578108,103.766772,202.227569,323.25171,,,,,,227.315233,333.269941,213.209821
