Date,cad_oas,us_hy_oas,us_ig_oas,tsx,vix,us_3m_10y,us_growth_surprises,us_inflation_surprises,us_lei_yoy,us_hard_data_surprises,us_economic_regime,cad_ig_er_index,us_hy_er_index,us_ig_er_index
2002-10-31,86.896937,1001.548411,253.069203,6248.79,31.14,353.472,0.09781,-0.01729,3.5,0.2097,0.85,99.76915,81.017657,94.29220600000001
2002-11-29,69.815295,855.874649,197.529894,6570.42,27.5,383.97,0.21568,-0.01644,3.5,0.0684,0.85,100.646215,87.998338,97.19690299999999
2002-11-30,69.815295,855.874649,197.529894,6570.42,27.5,383.97,0.21568,-0.01644,3.5,0.0684,0.99,100.646215,87.998338,97.19690299999999
2002-12-31,77.339824,860.768757,187.298322,6614.54,28.62,358.207,0.13698,-0.08693,3.1,0.0047,0.88,100.89157499999999,86.708345,97.552335
2003-01-31,74.88798,783.850864,169.313367,6569.49,31.17,367.751,0.20557,-0.0989,3.3,0.2402,0.99,100.77719926600123,89.94932691815966,98.3231876980299
2003-02-28,106.929516,800.036397,165.91452,6555.12,29.63,347.721,0.16672,-0.05803,2.2,0.1383,0.69,100.83943221620848,89.64553556061765,98.5710389155644
2003-03-31,117.389155,729.973437,160.829545,6343.29,29.15,371.266,0.09889,-0.02845,1.5,-0.1244,0.66,100.58638000345648,92.40636915125636,98.9241783682644
2003-04-30,95.375922,613.528554,133.809423,6586.07,21.21,364.493,0.14055,-0.01127,0.4,-0.0711,0.58,101.13514340470198,97.69517413536863,100.54359590543189
2003-05-30,98.637704,659.857887,130.736857,6859.8,19.47,327.324,0.13526,-0.24004,0.4,-0.3398,0.58,100.61316268095597,96.51979136097009,100.85206126631864
2003-05-31,98.637704,659.857887,130.736857,6859.8,19.47,327.324,0.13526,-0.24004,0.7,-0.3398,0.92,100.61316268095597,96.51979136097009,100.85206126631864
2003-06-30,89.258327,587.460552,123.329521,6983.14,19.52,370.436,0.17371,-0.21691,1.3,-0.0052,0.97,101.05963413214045,99.75681591026392,101.24560201855893
